Metric,Value,Unit
total_cost,7316.515689246706,CHF
average_heat_value,0.05767338084281273,CHF/kWh
average_elec_value,0.3128741411643836,CHF/kWh
total_expenses,7416.56941163263,CHF
total_revenue,100.05372238589943,CHF
electricity_expenses,7416.56941163263,CHF
electricity_revenue,0.05372238589943336,CHF
hydrogen_expenses,0.0,CHF
hydrogen_revenue,100.0,CHF
expenses_h2_system,0.0,CHF
revenue_h2_system,100.081383,CHF
expenses_hp_system,2640.107964493229,CHF
revenue_pv_system,0.0,CHF
heat_cost_cons1,931.3273017965805,CHF
heat_cost_cons2,931.3273017965801,CHF
heat_cost_cons3,931.3273017965809,CHF
heat_cost_cons_total,2793.9819053897413,CHF
electricity_end_expenses,4776.489107753398,CHF
electricity_f_heat_expenses,2640.107964493229,CHF
total_heat_consumption,35480.82172599746,kWh
total_heat_demand,35480.82172599746,kWh
total_heat_supply,35480.82172599747,kWh
total_heat_solar_gain,5821.3584,kWh
total_heat_waste,6.127032287611636,kWh
total_heat_waste_el,0.0,kWh
total_heat_waste_fc,6.127032287611636,kWh
total_heat_h2_used,0.0,kWh
total_heat_el_used,0.0,kWh
total_heat_fc_used,0.0,kWh
total_heat_el_gen,0.0,kWh
total_heat_fc_gen,6.127032287611636,kWh
total_heat_hp_used,35480.82172599747,kWh
total_heat_ts_used,0.0,kWh
total_heat_ts_input,0.0,kWh
total_energy_ts_stored,0.0,kWh
total_electricity_for_heat_demand,9215.797850908431,kWh
total_electricity_end_demand,15000.0,kWh
total_electricity_total_demand,24215.79785090843,kWh
total_electricity_generated,5.0,kWh
total_electricity_imported,24214.098441074646,kWh
total_electricity_exported,3.300590166216124,kWh
total_electricity_h2_demand,0.0,kWh
total_electricity_el_demand,0.0,kWh
total_electricity_co_demand,0.0,kWh
total_electricity_hp_demand,9215.797850908431,kWh
total_electricity_fc_produced,5.0,kWh
total_electricity_pv_produced,0.0,kWh
total_electricity_bat_charged,0.0,kWh
total_electricity_bat_discharged,0.0,kWh
total_energy_bat_stored,0.0,kWh
total_net_electricity_imported,24210.79785090843,kWh
total_hydrogen_used,0.2905966414002574,kg
total_hydrogen_produced,0.0,kg
total_hydrogen_imported,0.0,kg
total_hydrogen_exported,10.0,kg
avg_hydrogen_storage,7.207266127991589,kg
avg_temp_cons1,21.28709587844247,°C
avg_temp_cons2,21.22186248251527,°C
avg_temp_cons3,21.231485279764723,°C
max_temp_cons1,28.832479801501982,°C
max_temp_cons2,28.832479801501982,°C
max_temp_cons3,28.832479801501982,°C
avg_rate_elec_f_heat_demand,0.18084935854285264,kWh/h
avg_rate_elec_end_demand,0.25211857672986404,kWh/h
avg_rate_elec_total_demand,0.34651357324699744,kWh/h
avg_rate_elec_generated,0.0005707762557077625,kWh/h
avg_rate_elec_imported,0.3467075698033654,kWh/h
avg_rate_elec_exported,0.0003767796993397402,kWh/h
avg_rate_heat_demand,0.6962700303899828,kWh/h
avg_rate_heat_supply,0.6962700303899828,kWh/h
avg_rate_temp_cons1,0.09845461612026586,°C/h
avg_rate_temp_cons2,0.09159440291981191,°C/h
avg_rate_temp_cons3,0.09405267714772546,°C/h
avg_rate_elec_f_heat_demand_ramp_up,0.4180053775291265,kWh/h
avg_rate_elec_end_demand_ramp_up,0.2769899571936677,kWh/h
avg_rate_elec_total_demand_ramp_up,0.367219650225784,kWh/h
avg_rate_elec_generated_ramp_up,5.0,kWh/h
avg_rate_elec_imported_ramp_up,0.36721965022578396,kWh/h
avg_rate_elec_exported_ramp_up,3.300590166216124,kWh/h
avg_rate_heat_demand_ramp_up,1.6033978617813482,kWh/h
avg_rate_heat_supply_ramp_up,1.6093207034871366,kWh/h
avg_rate_temp_cons1_ramp_up,0.17811980886775658,°C/h
avg_rate_temp_cons2_ramp_up,0.16546689482365584,°C/h
avg_rate_temp_cons3_ramp_up,0.17380479302032903,°C/h
max_rate_elec_f_heat_demand,3.896103896103896,kWh/h
max_rate_elec_end_demand,1.0796716656950898,kWh/h
max_rate_elec_total_demand,3.6677553802295186,kWh/h
max_rate_elec_generated,5.0,kWh/h
max_rate_elec_imported,4.838827201636495,kWh/h
max_rate_elec_exported,3.300590166216124,kWh/h
max_rate_heat_demand,15.0,kWh/h
max_rate_heat_supply,15.0,kWh/h
max_rate_temp_cons1,0.9097818384982972,°C/h
max_rate_temp_cons2,0.9057335396074819,°C/h
max_rate_temp_cons3,0.9097818384982972,°C/h
