Metric,Value,Unit
total_cost,7417.036409454886,CHF
average_heat_value,0.05704157941146588,CHF/kWh
average_elec_value,0.31290365296803657,CHF/kWh
weighted_avg_heat_value,0.07874625697697779,CHF/kWh
weighted_avg_elec_value,0.3184618963307747,CHF/kWh
total_expenses,7417.036409454954,CHF
total_revenue,0.0,CHF
electricity_expenses,7417.036409454954,CHF
electricity_revenue,0.0,CHF
hydrogen_expenses,0.0,CHF
hydrogen_revenue,0.0,CHF
expenses_h2_system,0.0,CHF
revenue_h2_system,0.0,CHF
expenses_hp_system,2640.1079644932297,CHF
revenue_pv_system,0.0,CHF
heat_cost_cons1,931.327301796581,CHF
heat_cost_cons2,931.3273017965798,CHF
heat_cost_cons3,931.327301796581,CHF
heat_cost_cons_total,2793.9819053897418,CHF
electricity_end_expenses,4776.928444961621,CHF
electricity_f_heat_expenses,2640.1079644932297,CHF
total_heat_consumption,35480.82172599748,kWh
total_heat_demand,35480.82172599748,kWh
total_heat_supply,35480.82172599748,kWh
total_heat_solar_gain,5821.3584,kWh
total_heat_waste,0.0,kWh
total_heat_waste_el,0.0,kWh
total_heat_waste_fc,0.0,kWh
total_heat_h2_used,0.0,kWh
total_heat_el_used,0.0,kWh
total_heat_fc_used,0.0,kWh
total_heat_el_gen,0.0,kWh
total_heat_fc_gen,0.0,kWh
total_heat_hp_used,35480.82172599748,kWh
total_heat_ts_used,0.0,kWh
total_heat_ts_input,0.0,kWh
total_energy_ts_stored,0.0,kWh
total_electricity_for_heat_demand,9215.797850908435,kWh
total_electricity_end_demand,15000.0,kWh
total_electricity_total_demand,24215.797850908435,kWh
total_electricity_generated,0.0,kWh
total_electricity_imported,24215.797850908435,kWh
total_electricity_exported,0.0,kWh
total_electricity_h2_demand,0.0,kWh
total_electricity_el_demand,0.0,kWh
total_electricity_co_demand,0.0,kWh
total_electricity_hp_demand,9215.797850908435,kWh
total_electricity_fc_produced,0.0,kWh
total_electricity_pv_produced,0.0,kWh
total_electricity_bat_charged,0.0,kWh
total_electricity_bat_discharged,0.0,kWh
total_energy_bat_stored,0.0,kWh
total_net_electricity_imported,24215.797850908435,kWh
total_hydrogen_used,0.0,kg
total_hydrogen_produced,0.0,kg
total_hydrogen_imported,0.0,kg
total_hydrogen_exported,0.0,kg
avg_hydrogen_storage,7.207266127991589,kg
avg_temp_cons1,21.250844653567018,°C
avg_temp_cons2,21.275652139494415,°C
avg_temp_cons3,21.21394684766103,°C
max_temp_cons1,28.832479801501982,°C
max_temp_cons2,28.832479801501982,°C
max_temp_cons3,28.832479801501982,°C
avg_rate_elec_f_heat_demand,0.18084935854285267,kWh/h
avg_rate_elec_end_demand,0.25211857672986404,kWh/h
avg_rate_elec_total_demand,0.34651357324699744,kWh/h
avg_rate_elec_generated,0.0,kWh/h
avg_rate_elec_imported,0.34651357324699733,kWh/h
avg_rate_elec_exported,0.0,kWh/h
avg_rate_heat_demand,0.6962700303899828,kWh/h
avg_rate_heat_supply,0.6962700303899828,kWh/h
avg_rate_temp_cons1,0.09252270229229273,°C/h
avg_rate_temp_cons2,0.09387573909517014,°C/h
avg_rate_temp_cons3,0.08853191500537644,°C/h
avg_rate_elec_f_heat_demand_ramp_up,0.4180053775291265,kWh/h
avg_rate_elec_end_demand_ramp_up,0.2769899571936677,kWh/h
avg_rate_elec_total_demand_ramp_up,0.367219650225784,kWh/h
avg_rate_elec_generated_ramp_up,,kWh/h
avg_rate_elec_imported_ramp_up,0.36721965022578396,kWh/h
avg_rate_elec_exported_ramp_up,,kWh/h
avg_rate_heat_demand_ramp_up,1.6000329134879983,kWh/h
avg_rate_heat_supply_ramp_up,1.6093207034871366,kWh/h
avg_rate_temp_cons1_ramp_up,0.16903742093733978,°C/h
avg_rate_temp_cons2_ramp_up,0.1753317952253401,°C/h
avg_rate_temp_cons3_ramp_up,0.16172376055378612,°C/h
max_rate_elec_f_heat_demand,3.896103896103896,kWh/h
max_rate_elec_end_demand,1.0796716656950898,kWh/h
max_rate_elec_total_demand,3.6677553802295186,kWh/h
max_rate_elec_generated,0.0,kWh/h
max_rate_elec_imported,3.6677553802295177,kWh/h
max_rate_elec_exported,0.0,kWh/h
max_rate_heat_demand,15.000000000000002,kWh/h
max_rate_heat_supply,15.0,kWh/h
max_rate_temp_cons1,0.9061620168597102,°C/h
max_rate_temp_cons2,0.9254677322655098,°C/h
max_rate_temp_cons3,0.9099942451289351,°C/h
